study_hours,attendance,previous_marks,assignment_completion,sleep_hours,internal_marks,result
1.0,64.1,37.9,59.5,5.5,37.4,Fail
2.1,66.4,88.2,89.6,5.3,60.8,Pass
8.1,78.6,68.8,64.9,6.7,52.8,Fail
7.1,53.0,39.3,49.7,5.7,52.9,Fail
3.7,85.4,54.3,93.4,5.9,44.9,Pass
2.0,87.0,76.6,65.3,5.9,64.8,Pass
0.5,75.0,60.8,67.6,7.4,41.8,Fail
4.1,48.2,57.3,75.7,6.5,63.1,Pass
10.0,66.0,86.0,95.6,6.6,85.0,Pass
6.1,92.8,49.3,75.4,7.5,47.6,Fail
4.0,44.7,53.0,53.4,6.6,37.1,Fail
6.2,73.8,68.2,84.8,6.5,68.2,Pass
1.9,63.8,70.9,66.3,7.4,50.8,Fail
4.6,87.7,72.4,100.0,7.6,65.0,Fail
5.4,69.9,78.7,75.0,6.6,74.9,Pass
5.0,82.8,68.0,34.8,6.9,48.8,Fail
6.9,84.8,72.3,81.4,5.9,68.0,Pass
5.9,100.0,61.1,100.0,5.8,72.8,Pass
6.6,75.6,65.9,100.0,7.7,72.1,Pass
3.8,82.5,66.6,100.0,7.3,60.4,Pass
7.1,60.2,68.2,56.6,7.3,56.9,Fail
8.6,92.3,76.6,91.4,7.1,60.9,Pass
3.2,68.9,73.3,62.0,6.9,47.8,Fail
3.3,71.3,65.7,79.0,7.6,58.5,Fail
8.0,77.7,52.9,52.1,7.9,54.2,Fail
4.8,59.2,66.0,63.4,7.9,55.6,Fail
8.1,80.7,64.6,62.8,6.7,71.2,Pass
4.3,89.6,67.9,91.2,8.5,53.2,Pass
8.3,81.5,98.1,89.4,7.1,80.3,Pass
5.5,58.9,57.1,80.0,7.6,56.2,Fail
5.7,76.5,71.3,50.7,7.1,53.6,Pass
8.5,86.9,81.0,69.4,7.1,84.0,Pass
4.4,55.5,66.5,61.6,5.9,61.1,Fail
3.2,65.1,100.0,90.7,7.6,74.5,Pass
4.3,88.5,59.3,96.2,10.0,73.8,Pass
6.1,,69.9,94.0,6.4,54.4,Pass
1.9,82.9,53.0,61.4,6.9,46.4,Fail
6.5,100.0,59.7,25.7,6.3,57.4,Fail
4.1,83.6,68.7,43.2,6.2,47.5,Pass
7.6,85.9,77.7,100.0,8.7,76.4,Pass
0.5,100.0,69.8,67.8,6.0,45.6,Fail
3.5,75.4,83.9,61.5,6.2,67.9,Pass
1.7,68.4,63.6,100.0,4.9,63.3,Fail
3.5,83.1,60.0,97.8,5.9,60.1,Pass
5.7,83.3,100.0,,4.7,61.8,Pass
4.8,71.7,70.9,69.7,7.6,51.9,Fail
4.7,65.6,54.2,72.6,10.0,56.1,Fail
4.9,100.0,54.6,79.1,6.4,57.4,Fail
5.6,81.9,50.9,100.0,4.8,36.3,Fail
3.1,69.2,79.0,82.6,7.9,71.8,Pass
6.7,89.0,59.5,88.1,5.9,63.8,Pass
6.6,76.7,66.9,96.0,8.4,59.0,Pass
6.0,75.0,64.0,53.9,6.5,64.7,Fail
6.4,84.7,76.0,88.6,6.0,63.7,Pass
5.8,62.5,52.3,69.7,6.6,46.5,Pass
9.5,82.2,48.9,29.7,7.7,56.2,Fail
5.0,100.0,68.4,36.7,6.5,71.5,Pass
4.6,83.6,74.0,56.7,6.2,73.0,Pass
3.6,73.5,70.0,84.6,6.6,62.4,Fail
3.0,71.9,52.9,77.0,5.3,53.1,Fail
2.6,73.1,75.2,78.3,7.3,65.3,Fail
3.3,75.0,53.8,100.0,4.7,44.2,Fail
5.1,73.5,57.2,52.2,6.3,56.6,Fail
5.9,89.0,50.8,74.5,7.7,49.5,Pass
5.3,57.2,84.5,80.5,7.2,69.1,Pass
3.6,88.3,74.5,61.7,7.5,58.0,Fail
7.1,73.4,74.1,75.5,6.7,70.2,Pass
6.8,82.5,83.7,46.2,8.2,67.6,Pass
4.9,64.5,100.0,100.0,7.9,51.9,Pass
3.8,93.9,39.4,62.7,7.3,46.7,Pass
6.4,92.9,53.9,100.0,7.9,67.0,Pass
5.6,89.5,55.8,74.4,7.7,60.6,Pass
2.2,59.8,52.2,93.5,6.3,47.8,Fail
5.1,87.9,48.8,74.0,5.2,65.9,Pass
5.8,82.9,60.5,74.4,7.3,61.2,Pass
3.3,58.7,46.8,64.5,7.5,47.2,Fail
5.6,77.7,70.0,77.1,8.1,70.8,Pass
2.1,82.4,65.8,80.7,5.7,58.4,Pass
8.0,84.7,72.2,60.9,5.7,59.0,Pass
7.8,80.1,72.6,72.7,7.4,47.8,Pass
4.7,81.5,74.0,64.0,6.7,57.3,Fail
6.0,95.7,59.4,100.0,4.5,70.0,Pass
0.5,92.7,96.8,73.4,7.3,63.8,Pass
2.8,43.6,68.5,100.0,4.6,62.5,Fail
4.6,74.2,37.1,71.5,5.7,45.7,Fail
2.9,76.0,50.0,79.7,8.4,59.2,Fail
6.7,57.0,38.9,51.2,9.0,41.7,Pass
9.4,79.1,65.3,67.0,5.3,69.6,Pass
2.7,93.0,63.2,78.8,6.4,60.4,Fail
3.4,65.0,58.0,100.0,6.9,67.1,Fail
5.7,82.0,95.2,79.0,8.9,61.1,Pass
8.6,67.0,73.2,99.9,6.2,67.8,Pass
2.6,69.9,75.9,86.5,6.2,67.1,Pass
5.7,95.7,51.0,100.0,8.7,72.1,Fail
9.0,71.5,50.0,73.9,6.4,60.3,Fail
1.7,83.5,65.6,100.0,7.7,55.3,Fail
2.5,55.5,67.6,66.3,5.0,57.6,Fail
4.3,100.0,37.2,61.2,6.6,52.6,Pass
4.1,85.2,62.3,53.2,4.8,50.8,Fail
6.9,75.8,65.2,100.0,5.5,68.5,Pass
5.7,84.9,61.8,89.8,7.8,71.2,Fail
1.5,61.1,52.8,69.0,6.7,59.2,Fail
6.3,92.2,56.9,97.5,6.4,68.5,Pass
4.0,74.1,62.3,87.4,5.9,57.6,Pass
7.9,75.6,66.4,100.0,6.5,67.7,Pass
3.9,72.1,74.1,47.1,7.2,60.5,Fail
3.9,71.0,81.2,70.2,8.0,61.6,Pass
6.3,86.3,60.6,66.7,4.0,60.5,Pass
6.8,81.1,58.2,39.5,,45.6,Fail
6.1,85.8,71.6,94.1,7.0,78.0,Pass
1.7,77.9,74.2,70.1,6.7,47.1,Fail
6.3,84.2,58.5,88.3,7.3,57.6,Pass
3.0,73.0,76.9,100.0,7.1,64.6,Pass
5.7,100.0,79.7,68.6,6.4,84.3,Pass
2.2,59.2,84.4,67.4,6.2,55.8,Fail
6.1,93.1,91.7,77.1,6.5,69.7,Pass
3.5,94.4,52.0,92.8,8.2,50.6,Pass
2.5,67.8,65.2,64.8,5.9,65.0,Fail
6.7,100.0,65.2,63.6,6.7,40.4,Pass
5.7,89.9,63.5,94.0,7.0,55.7,Pass
3.9,89.7,55.3,81.8,8.7,76.8,Pass
8.2,78.3,42.7,38.2,6.4,53.9,Fail
4.3,75.4,66.4,52.9,8.0,45.7,Pass
5.3,75.5,53.5,100.0,8.3,57.3,Fail
5.8,82.7,66.3,82.2,6.7,63.0,Pass
3.9,94.8,53.1,61.3,6.5,58.2,Fail
6.2,80.2,48.5,71.9,6.4,68.1,Pass
4.1,67.1,68.5,,6.5,60.6,Fail
4.3,87.9,67.3,88.2,7.8,57.5,Fail
8.1,89.1,73.7,50.6,7.1,72.2,Pass
3.0,85.9,97.8,59.9,7.1,63.1,Pass
0.5,86.9,69.2,79.9,5.4,46.2,Pass
8.6,74.7,72.3,73.2,5.6,53.8,Fail
10.0,66.9,48.8,85.3,9.4,48.3,Pass
4.3,67.6,45.7,52.9,6.6,37.3,Fail
1.1,58.4,88.7,81.4,5.9,51.8,Fail
4.5,80.8,51.1,94.6,8.5,57.6,Fail
4.6,77.0,49.3,83.8,7.1,42.7,Fail
4.8,72.7,64.4,77.5,7.5,32.8,Fail
2.9,42.5,63.6,73.3,6.6,41.5,Fail
6.4,63.0,51.5,60.0,6.4,47.5,Fail
6.3,91.5,60.4,73.7,6.6,55.7,Pass
2.1,70.0,83.4,97.7,5.1,76.5,Pass
6.7,82.3,52.9,72.9,6.7,51.7,Fail
9.5,61.3,44.1,59.0,7.2,60.2,Pass
5.6,95.3,79.1,66.1,9.0,66.8,Pass
4.5,76.3,72.4,78.6,6.9,61.3,Pass
4.9,81.5,55.7,68.3,4.0,47.2,Fail
6.5,100.0,41.3,83.7,6.7,54.3,Fail
1.6,96.2,53.8,84.4,10.0,45.1,Fail
5.5,74.3,64.2,91.0,7.8,62.8,Pass
4.4,70.9,82.5,100.0,5.8,66.6,Pass
9.1,74.1,49.5,92.9,7.5,53.9,Pass
4.8,84.1,63.7,58.2,5.9,64.1,Fail
8.7,76.7,75.1,58.7,5.2,70.9,Pass
2.9,73.3,29.3,73.6,6.4,34.6,Fail
6.4,95.6,80.5,66.9,6.9,70.5,Pass
5.9,76.6,47.3,54.5,4.6,48.5,Fail
3.4,100.0,70.0,67.0,5.4,52.7,Fail
5.6,79.1,68.7,66.5,6.8,61.0,Pass
7.7,99.4,81.3,62.9,6.3,66.9,Pass
4.5,82.3,73.3,69.3,7.3,53.8,Pass
1.6,89.6,29.3,96.2,5.3,28.4,Fail
5.2,69.3,53.2,78.6,7.7,50.5,Fail
3.3,67.8,67.1,100.0,5.4,63.8,Fail
4.5,83.5,62.1,78.1,8.8,52.2,Fail
5.0,89.9,72.2,69.8,4.7,82.9,Fail
1.6,78.5,76.8,75.1,5.5,65.3,Fail
1.8,62.6,74.1,79.6,7.3,66.5,Pass
6.2,61.7,61.8,82.8,8.8,65.2,Pass
4.1,60.9,37.3,100.0,7.2,61.3,Fail
0.5,56.8,58.2,59.8,7.5,36.6,Fail
6.8,79.3,71.2,90.5,6.8,47.0,Pass
5.8,91.5,48.6,78.7,5.6,51.5,Fail
3.7,77.8,74.5,46.7,6.2,61.0,Pass
2.4,50.9,78.6,88.9,5.3,60.4,Fail
7.0,75.7,66.9,97.8,5.3,68.6,Pass
5.9,76.0,20.0,59.6,7.3,48.3,Fail
10.0,100.0,45.8,74.8,5.5,64.9,Pass
6.1,60.5,93.3,43.9,7.2,73.2,Pass
6.0,73.3,56.8,52.3,5.2,45.5,Pass
4.8,98.5,35.2,93.9,7.2,41.7,Fail
6.9,83.4,83.5,66.6,6.2,82.9,Pass
6.5,84.8,65.2,55.0,8.5,60.3,Pass
7.8,79.4,81.6,79.1,7.2,67.2,Pass
4.1,82.0,69.2,65.6,8.3,53.2,Pass
4.3,87.3,71.9,66.5,5.9,55.3,Pass
4.2,68.3,70.4,88.3,6.9,55.0,Pass
6.9,88.5,75.5,54.1,5.6,54.8,Pass
8.3,61.5,99.2,58.7,6.3,63.8,Pass
4.2,81.9,79.6,77.8,6.5,63.4,Fail
4.3,80.1,41.3,92.4,5.9,45.1,Fail
5.9,70.6,71.7,97.3,5.3,74.7,Pass
4.7,77.7,82.1,63.0,5.1,66.5,Fail
7.2,70.5,83.0,91.9,4.0,74.7,Pass
0.5,65.1,58.6,60.9,5.5,38.3,Fail
3.5,73.8,82.5,100.0,7.6,66.2,Pass
3.6,64.8,78.9,54.6,4.9,60.8,Fail
0.5,81.9,100.0,98.9,5.2,76.3,Fail
3.2,64.2,53.7,63.2,8.9,46.3,Fail
3.3,86.5,57.4,100.0,6.0,65.7,Pass
4.8,63.8,60.4,85.6,7.2,56.4,Fail
7.5,71.2,57.6,56.7,7.6,62.9,Fail
4.7,70.5,51.6,65.6,7.6,46.1,Fail
3.0,93.9,23.6,89.1,5.0,26.2,Fail
5.1,82.0,58.5,93.9,6.5,61.5,Fail
7.4,75.5,70.5,73.7,4.9,71.0,Pass
3.2,84.0,57.6,75.8,9.7,57.6,Fail
3.3,52.7,94.0,88.7,4.9,71.2,Fail
6.4,77.5,65.2,77.4,5.5,58.9,Fail
4.7,100.0,84.4,51.7,5.6,59.8,Pass
6.6,79.6,68.9,60.4,5.0,65.8,Pass
5.2,78.8,77.4,79.2,8.4,68.9,Pass
6.7,84.6,69.2,96.9,9.7,63.3,Pass
3.0,88.7,85.5,100.0,6.2,78.5,Fail
5.2,54.0,65.8,,5.2,51.7,Fail
4.8,57.8,72.4,80.2,4.1,55.5,Fail
2.6,80.5,70.5,88.5,6.5,72.5,Fail
1.9,69.4,60.7,63.0,6.4,55.5,Fail
6.6,93.7,71.1,72.2,6.0,63.2,Pass
4.5,74.2,98.5,60.2,7.1,72.6,Pass
3.1,54.8,60.9,52.5,7.3,48.6,Fail
5.0,62.8,71.3,81.0,7.2,38.8,Pass
7.6,45.0,83.9,78.3,6.4,61.3,Pass
0.5,,82.1,87.4,5.5,59.6,Fail
2.1,75.7,65.2,84.8,7.6,52.0,Pass
3.3,72.9,29.2,79.4,6.8,41.7,Fail
8.3,90.9,72.8,85.0,7.9,80.3,Pass
5.8,92.4,31.7,74.2,7.7,44.3,Fail
6.8,76.0,87.0,82.4,5.1,64.5,Pass
2.8,52.4,67.5,61.9,5.1,53.6,Fail
2.8,85.4,80.0,81.7,5.9,61.0,Pass
6.1,84.7,51.5,87.0,5.5,56.2,Fail
5.3,,41.7,62.9,7.7,45.3,Fail
6.4,89.8,68.9,75.9,7.2,82.5,Pass
4.8,64.0,64.5,63.8,8.1,37.0,Fail
5.8,100.0,57.6,65.5,7.3,55.1,Pass
5.5,66.5,66.3,54.8,7.1,55.9,Fail
6.8,87.0,100.0,97.8,8.2,76.2,Pass
6.9,57.8,77.5,94.2,7.4,75.5,Fail
1.8,66.8,80.7,84.7,6.9,66.8,Pass
0.5,96.2,77.7,100.0,8.6,62.0,Fail
7.3,74.9,87.2,71.6,6.9,69.9,Pass
7.7,88.1,62.1,100.0,6.4,66.5,Pass
3.1,80.8,34.2,70.9,5.8,40.4,Fail
1.3,76.7,62.2,79.6,7.6,50.8,Fail
5.4,94.4,77.2,67.8,8.3,64.5,Pass
7.2,75.2,50.5,81.7,6.7,58.9,Pass
9.0,56.6,62.4,90.0,8.4,70.5,Pass
6.3,68.4,54.6,72.9,4.4,45.2,Pass
4.4,84.6,87.5,100.0,6.7,64.1,Pass
3.3,82.7,76.2,79.3,6.8,48.1,Fail
5.2,59.2,74.8,79.9,5.9,69.1,Pass
4.6,69.3,74.3,58.6,9.7,60.8,Fail
3.1,71.0,64.4,82.5,6.7,59.5,Pass
9.5,73.6,68.0,72.6,6.3,56.0,Pass
8.9,61.5,47.2,64.1,6.8,68.6,Pass
7.6,70.5,32.2,61.0,4.4,40.9,Fail
3.3,,67.3,100.0,5.9,60.8,Fail
7.0,87.3,69.9,70.3,8.0,71.9,Pass
6.5,87.7,83.1,48.8,6.0,59.1,Pass
6.1,76.3,88.6,62.4,5.8,65.0,Fail
7.8,73.3,88.5,74.1,8.4,75.3,Pass
6.5,79.7,50.0,84.8,8.4,79.4,Pass
6.8,68.2,59.7,85.0,7.4,62.4,Pass
6.5,64.2,72.2,87.2,6.3,77.9,Fail
5.9,66.7,100.0,63.4,6.5,82.8,Pass
1.5,70.4,87.2,81.1,5.8,65.4,Pass
5.4,64.0,81.8,59.2,5.6,55.1,Pass
4.0,,59.2,63.8,5.5,61.5,Fail
2.5,86.8,51.8,58.5,6.1,35.0,Fail
8.7,59.0,76.8,53.6,5.6,78.2,Pass
8.8,78.3,48.5,94.2,4.9,62.8,Pass
8.1,75.4,61.4,87.4,,43.1,Pass
5.7,82.1,63.3,92.6,7.1,59.8,Fail
8.0,77.8,88.9,75.7,8.8,80.4,Pass
5.2,60.6,59.7,89.0,6.0,55.0,Pass
5.6,62.9,28.4,43.3,7.2,42.7,Fail
2.9,78.4,72.6,90.5,7.2,54.1,Pass
6.0,90.3,54.5,78.2,6.5,47.5,Fail
5.3,51.4,65.6,86.3,7.7,57.7,Fail
2.5,82.1,63.7,81.8,7.7,55.5,Pass
5.1,92.3,60.9,57.2,7.2,53.4,Pass
5.0,76.2,76.9,48.0,6.5,69.8,Pass
9.0,84.6,42.0,62.2,6.4,47.7,Pass
7.1,69.6,57.2,85.2,5.2,62.1,Fail
5.2,76.6,75.3,87.4,5.8,66.1,Pass
5.7,58.5,55.8,50.4,6.1,37.5,Fail
5.3,49.9,40.9,57.3,5.5,32.0,Fail
4.8,89.3,75.0,62.0,7.3,62.5,Pass
2.9,66.2,81.8,68.6,8.2,76.2,Fail
4.9,72.5,64.3,50.5,5.7,58.6,Fail
3.6,61.4,35.6,49.4,7.1,23.5,Fail
2.6,61.1,75.6,60.2,5.6,30.1,Fail
6.3,75.9,40.1,76.6,6.4,55.8,Pass
6.0,69.2,69.6,53.7,6.0,57.8,Pass
1.4,82.5,51.7,72.9,7.5,55.8,Fail
4.9,83.4,47.6,94.1,6.0,47.4,Fail
7.3,81.9,58.4,51.6,8.0,59.7,Pass
7.4,80.9,62.3,71.3,6.5,68.5,Pass
7.4,96.9,55.3,93.4,6.0,60.2,Pass
5.3,65.2,73.8,67.5,5.3,57.3,Fail
